               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11528,            0.054263,             0.06427,                   0,                   0,                   0,                   0,             0.11098,            0.036752,            0.062763,              0.0973,              0.0003,              0.0003
                   1,             0.11547,            0.055512,            0.064435,           0.0004386,                 0.1,           0.0030152,          0.00030152,             0.10854,            0.038517,            0.062741,            0.093693,          0.00069307,          0.00069307
                   2,             0.11342,            0.055941,            0.064621,          0.00083333,                0.15,           0.0038175,          0.00038175,             0.10584,            0.040346,            0.062723,            0.090078,           0.0010782,           0.0010782
                   3,             0.11105,            0.063044,            0.064373,           0.0010226,                 0.1,           0.0015351,          0.00033498,             0.10308,            0.042239,            0.062701,            0.086455,           0.0014555,           0.0014555
                   4,             0.10952,             0.05873,            0.064329,           0.0010446,                 0.1,           0.0015024,          0.00038873,             0.10168,            0.043219,            0.062687,            0.082825,           0.0018248,           0.0018248
                   5,             0.10925,            0.066754,             0.06435,           0.0010226,                 0.1,           0.0014496,          0.00045519,             0.10034,            0.044163,            0.062674,            0.079186,           0.0021861,           0.0021861
                   6,              0.1082,            0.060928,            0.064332,           0.0016399,                0.12,            0.003015,           0.0006614,            0.099192,            0.045019,            0.062661,             0.07554,           0.0025396,           0.0025396
                   7,             0.10828,            0.063305,            0.064445,           0.0016534,                0.12,           0.0080002,           0.0011947,             0.09832,            0.045732,             0.06265,            0.071885,           0.0028852,           0.0028852
                   8,              0.1057,            0.065108,            0.064209,           0.0017688,                0.12,            0.011193,           0.0014889,            0.097527,            0.046429,            0.062639,            0.068223,           0.0032228,           0.0032228
                   9,             0.10526,            0.065017,            0.064034,           0.0018078,                0.12,             0.02096,           0.0024733,            0.096796,             0.04711,            0.062628,            0.064553,           0.0035525,           0.0035525
                  10,             0.10464,            0.072363,            0.064187,           0.0018298,                0.12,           0.0062605,          0.00085806,            0.096168,            0.047679,            0.062617,            0.060874,           0.0038743,           0.0038743
                  11,             0.10406,             0.06924,            0.063715,           0.0022389,             0.13429,           0.0082156,           0.0010537,            0.095542,            0.048239,            0.062606,            0.057188,           0.0041882,           0.0041882
                  12,             0.10289,            0.064101,             0.06436,           0.0022465,             0.13429,            0.021272,           0.0023574,            0.094915,            0.048797,            0.062595,            0.053494,           0.0044941,           0.0044941
                  13,              0.1027,            0.069863,            0.064119,           0.0022465,             0.13429,            0.011567,           0.0013309,            0.094555,            0.049107,             0.06259,            0.049792,           0.0047922,           0.0047922
                  14,             0.10365,            0.067452,            0.063899,           0.0028417,             0.15429,            0.022228,           0.0023963,            0.093979,            0.049575,             0.06258,            0.046082,           0.0050823,           0.0050823
                  15,             0.10165,            0.074111,            0.063818,           0.0028197,             0.15429,            0.022209,           0.0023884,            0.093692,            0.049803,            0.062574,            0.042364,           0.0053644,           0.0053644
                  16,             0.10021,            0.072658,            0.063779,           0.0027734,             0.15429,            0.012506,           0.0014383,            0.093382,            0.050038,            0.062569,            0.038639,           0.0056387,           0.0056387
                  17,             0.10125,            0.074315,            0.064117,           0.0029238,             0.15429,           0.0050331,          0.00063468,            0.092868,            0.050395,            0.062558,            0.034905,           0.0059051,           0.0059051
                  18,             0.10014,             0.07685,            0.063983,           0.0029406,             0.15429,           0.0046185,           0.0005922,            0.092621,            0.050542,            0.062554,            0.031163,           0.0061635,           0.0061635
